Time (s),Value 1,Value 2,Value 3,Value 4
3.4783995151519775,33.00,43.31,15.00,-144.41
3.502401113510132,0.00,7.77,15.00,-144.41
3.517399549484253,0.00,7.77,15.00,-144.41
3.533399820327759,1.74,9.64,15.00,-144.41
3.548398494720459,1.74,9.64,15.00,-144.41
3.5643997192382812,1.74,9.64,15.00,-144.41
3.580401659011841,1.74,9.64,15.00,-144.41
3.5953986644744873,2.52,10.48,15.00,-144.41
3.6113996505737305,2.52,10.48,15.00,-144.41
3.62640118598938,2.52,10.48,15.00,20.22
3.6424033641815186,2.52,10.48,15.00,20.22
3.6583988666534424,2.52,10.48,15.00,20.22
3.6754021644592285,2.52,10.48,15.00,20.22
3.688399314880371,2.52,10.48,15.00,20.22
3.7033984661102295,2.52,10.48,15.00,20.22
3.7183997631073,3.36,11.39,15.00,20.22
3.7343993186950684,3.36,11.39,15.00,20.22
3.7513997554779053,3.36,11.39,15.00,20.22
3.7663986682891846,3.36,11.39,15.00,16.05
3.7813987731933594,3.36,11.39,15.00,16.05
3.796398639678955,3.36,11.39,15.00,16.05
3.8113996982574463,3.36,11.39,15.00,16.05
3.827402353286743,3.36,11.39,15.00,16.05
3.8433997631073,3.36,11.39,15.00,16.05
3.858398675918579,3.36,11.39,15.00,16.05
3.873399257659912,3.36,11.39,15.00,16.05
3.8904032707214355,3.36,11.39,15.00,16.05
3.904400587081909,3.36,11.39,15.00,16.42
3.9193997383117676,3.36,11.39,15.00,16.42
3.936400890350342,3.36,11.39,15.00,16.42
3.9524002075195312,3.36,11.39,15.00,16.42
3.9673993587493896,3.36,11.39,15.00,16.42
3.9823989868164062,3.36,11.39,15.00,16.42
3.9984006881713867,3.36,11.39,15.00,16.42
4.0133984088897705,3.36,11.39,15.00,16.42
4.028439283370972,3.36,11.39,15.00,16.42
4.04439902305603,3.36,11.39,15.00,16.78
4.060401201248169,3.36,11.39,15.00,16.78
4.076399087905884,3.36,11.39,15.00,16.78
4.093401908874512,3.36,11.39,15.00,16.78
4.109400272369385,3.36,11.39,15.00,16.78
4.124399662017822,3.36,11.39,15.00,16.78
4.139398813247681,3.36,11.39,15.00,16.78
